,Symbol,Name,Sector
223,HAS:NYSE,Hasbro,Consumer Discretionary
224,HCA:NYSE,HCA Healthcare,Health Care
225,PEAK:NYSE,Healthpeak Properties,Real Estate
226,HSIC:NYSE,Henry Schein,Health Care
227,HES:NYSE,Hess Corporation,Energy
228,HPE:NYSE,Hewlett Packard Enterprise,Information Technology
229,HLT:NYSE,Hilton Worldwide,Consumer Discretionary
230,HOLX:NYSE,Hologic,Health Care
231,HD:NYSE,Home Depot,Consumer Discretionary
232,HON:NYSE,Honeywell,Industrials
233,HRL:NYSE,Hormel,Consumer Staples
234,HST:NYSE,Host Hotels & Resorts,Real Estate
235,HWM:NYSE,Howmet Aerospace,Industrials
236,HPQ:NYSE,HP,Information Technology
237,HUM:NYSE,Humana,Health Care
238,HBAN:NYSE,Huntington Bancshares,Financials
239,HII:NYSE,Huntington Ingalls Industries,Industrials
240,IBM:NYSE,IBM,Information Technology
241,IEX:NYSE,IDEX Corporation,Industrials
242,IDXX:NYSE,Idexx Laboratories,Health Care
243,INFO:NYSE,IHS Markit,Industrials
244,ITW:NYSE,Illinois Tool Works,Industrials
245,ILMN:NYSE,Illumina,Health Care
246,INCY:NYSE,Incyte,Health Care
247,IR:NYSE,Ingersoll Rand,Industrials
248,INTC:NYSE,Intel,Information Technology
249,ICE:NYSE,Intercontinental Exchange,Financials
250,IFF:NYSE,International Flavors & Fragrances,Materials
251,IP:NYSE,International Paper,Materials
252,IPG:NYSE,Interpublic Group,Communication Services
253,INTU:NYSE,Intuit,Information Technology
254,ISRG:NYSE,Intuitive Surgical,Health Care
255,IVZ:NYSE,Invesco,Financials
256,IPGP:NYSE,IPG Photonics,Information Technology
257,IQV:NYSE,IQVIA,Health Care
258,IRM:NYSE,Iron Mountain,Real Estate
259,JBHT:NYSE,J. B. Hunt,Industrials
260,JKHY:NYSE,Jack Henry & Associates,Information Technology
261,J:NYSE,Jacobs Engineering Group,Industrials
262,SJM:NYSE,JM Smucker,Consumer Staples
263,JNJ:NYSE,Johnson & Johnson,Health Care
264,JCI:NYSE,Johnson Controls,Industrials
265,JPM:NYSE,JPMorgan Chase,Financials
266,JNPR:NYSE,Juniper Networks,Information Technology
267,KSU:NYSE,Kansas City Southern,Industrials
268,K:NYSE,Kellogg's,Consumer Staples
269,KEY:NYSE,KeyCorp,Financials
270,KEYS:NYSE,Keysight Technologies,Information Technology
271,KMB:NYSE,Kimberly-Clark,Consumer Staples
272,KIM:NYSE,Kimco Realty,Real Estate
273,KMI:NYSE,Kinder Morgan,Energy
274,KLAC:NYSE,KLA Corporation,Information Technology
275,KHC:NYSE,Kraft Heinz,Consumer Staples
276,KR:NYSE,Kroger,Consumer Staples
277,LHX:NYSE,L3Harris Technologies,Industrials
278,LH:NYSE,LabCorp,Health Care
279,LRCX:NYSE,Lam Research,Information Technology
280,LW:NYSE,Lamb Weston,Consumer Staples
281,LVS:NYSE,Las Vegas Sands,Consumer Discretionary
282,LEG:NYSE,Leggett & Platt,Consumer Discretionary
283,LDOS:NYSE,Leidos,Industrials
284,LEN:NYSE,Lennar,Consumer Discretionary
285,LNC:NYSE,Lincoln National,Financials
286,LIN:NYSE,Linde,Materials
287,LYV:NYSE,Live Nation Entertainment,Communication Services
288,LKQ:NYSE,LKQ Corporation,Consumer Discretionary
289,LMT:NYSE,Lockheed Martin,Industrials
290,L:NYSE,Loews Corporation,Financials
291,LOW:NYSE,Lowe's,Consumer Discretionary
292,LUMN:NYSE,Lumen Technologies,Communication Services
293,LYB:NYSE,LyondellBasell,Materials
294,MTB:NYSE,M&T Bank,Financials
295,MRO:NYSE,Marathon Oil,Energy
296,MPC:NYSE,Marathon Petroleum,Energy
297,MKTX:NYSE,MarketAxess,Financials
298,MAR:NYSE,Marriott International,Consumer Discretionary
299,MMC:NYSE,Marsh & McLennan,Financials
300,MLM:NYSE,Martin Marietta Materials,Materials
301,MAS:NYSE,Masco,Industrials
302,MA:NYSE,Mastercard,Information Technology
303,MTCH:NYSE,Match Group,Communication Services
304,MKC:NYSE,McCormick & Company,Consumer Staples
305,MCD:NYSE,McDonald's,Consumer Discretionary
306,MCK:NYSE,McKesson Corporation,Health Care
307,MDT:NYSE,Medtronic,Health Care
308,MRK:NYSE,Merck & Co.,Health Care
309,MET:NYSE,MetLife,Financials
310,MTD:NYSE,Mettler Toledo,Health Care
